t,input_il6,STAT3_Obs
32,0,26.992083496444
32,0,27.5962149669971
32,0,31.3019742511321
32,0,31.5667484732522
32,0.0005,26.3641424694757
32,0.0005,29.7963419292469
32,0.0005,30.5858159984976
32,0.0005,30.7462296934897
32,0.0005,32.3210256881005
32,0.0005,33.2799953653764
32,0.0005,33.5987457359443
32,0.0005,39.8662422882995
32,0.005,28.7475949472456
32,0.005,32.0066975223427
32,0.005,34.2931498000676
32,0.005,36.4063644188307
32,0.05,26.9581494305192
32,0.05,27.2594315431421
32,0.1,27.2077420370899
32,0.1,28.9484976980527
32,0.1,31.1241332174952
32,0.1,31.9680997653273
32,0.1,32.1106775711794
32,0.1,32.707735391719
32,0.1,34.9259861163166
32,0.1,35.6560269340584
32,0.5,23.6228568740297
32,0.5,27.1422793653215
32,0.5,27.8405160708327
32,0.5,29.2723534546023
32,0.5,29.705124794115
32,0.5,29.8296873099933
32,0.5,30.3262941070755
32,0.5,31.3055855109733
32,1,23.609291311581
32,1,26.0769140264593
32,1,28.444428473449
32,1,30.3836030844533
32,1,32.0225857097868
32,1,33.6744338672964
32,2.5,25.5960686749897
32,2.5,26.3390731784857
32,2.5,29.5542593891499
32,2.5,30.1006648807743
32,2.5,32.4171223750312
32,2.5,32.6002084736413
32,5,25.8133431460785
32,5,26.7848421045734
32,10,27.0570340116449
32,10,30.0638542215162
32,10,30.082187656539
32,10,31.1989420688392
32,10,32.0766382289343
32,10,33.0094456481615
32,10,33.9056423785585
32,10,37.5261678249862
32,25,28.0176770087706
32,25,28.1145706852873
32,25,34.1538042428784
32,25,36.1889632027217
32,50,24.9318168186979
32,50,26.568401140236
32,50,27.9755433988415
32,50,29.0240591543042
32,50,31.4704541908893
32,50,36.9571996180432
32,100,30.3389389350742
32,100,32.5204094576005
32,100,36.7442498279362
32,100,40.4766793784661
32,200,29.7782702932777
32,200,32.0332383452667
32,500,27.5457376106357
32,500,28.5921818799284
32,500,29.9242248125329
32,500,31.1418229915006
32,500,32.037031510994
32,500,33.3728608135764
32,500,33.5477161777584
32,500,39.6838741469817
