t,tpSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,0.415974608896251,0.206839150249838,-0.000542220897185189
9.5,3.55654628468614,NaN,NaN
10,NaN,7.0215203037058,0.00763670112713144
20,1.93904410459565,NaN,0.0819696388143814
25,NaN,3.83783901228927,NaN
30,-0.0819688325616105,NaN,NaN
35,NaN,0.446565869817755,0.32865730772275
40,0.0940126875497087,NaN,NaN
45,NaN,NaN,0.162599270764721
50,NaN,0.101400473621915,NaN
55,-0.132202828442319,NaN,NaN
60,NaN,NaN,0.00857966371427852
70,0.086086909084203,0.0398672409400131,NaN
80,NaN,NaN,-0.0116383213422705
85,0.587324797232588,NaN,NaN
90,NaN,-0.104651407132507,NaN
100,1.3141123769489,0.500725416405072,0.00442769773716035
150,0.409971653860459,0.2118628423628,0.0193653976153342
