t,tpSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,0.22335697566771,-0.14160451412526,0.00490155516381474
9,NaN,1.19121120991568,NaN
9.5,2.13945369727431,NaN,NaN
10,NaN,NaN,-0.00445443980047515
20,2.37143876647084,6.09099229186321,NaN
25,NaN,NaN,0.0622438212250637
30,0.299037423461713,0.981440374561953,NaN
40,NaN,0.235443551118793,0.114705334684282
45,-0.0661759923948768,NaN,NaN
50,NaN,0.108371118678099,NaN
55,0.0742256586043937,NaN,0.027653922785273
65,NaN,0.0555204263059534,NaN
70,NaN,NaN,0.00765443132700885
75,0.00810763615802546,NaN,NaN
80,NaN,0.0085666887036178,NaN
90,NaN,NaN,-0.0021039155091393
95,0.68668233285421,NaN,NaN
100,0.93728742434185,0.0075880339907147,0.00105488200901889
150,NaN,NaN,0.00491387883387582
