t,tpSTAT3_Obs,nSOCS3RNA1_Obs,SOCS3RNA_Obs
0,0.443617792687266,-0.121240265875711,-0.0288566940781957
8.5,NaN,55.6861651700104,NaN
9,7.59525515596289,NaN,NaN
20,0.291853372477246,21.2742620094112,NaN
25,NaN,5.26291858311567,1.39063776202851
30,0.00852111402698153,NaN,NaN
40,-0.162084174721626,-1.18358178745512,NaN
50,NaN,-1.49313356916087,0.334301097044962
55,-0.000490183765438205,NaN,NaN
65,NaN,2.02988260681357,NaN
70,0.25440559007196,NaN,NaN
75,NaN,NaN,0.00122383692881289
80,NaN,0.223485662408895,NaN
85,0.826949269414652,NaN,NaN
100,1.83669184076731,3.80160330592421,0.0107217557294913
150,0.724027346064145,NaN,0.0265487456351518
200,NaN,NaN,0.0399241414932391
250,NaN,NaN,0.0386195139139885
300,NaN,NaN,0.0227181710623328
350,NaN,NaN,0.00810906710824961
