t,input_il6,tpSTAT3_Obs,nSOCS3RNA1_Obs
0,2.5,0.350906932367694,0.0246894766959048
0,2.5,0.477296040308009,0.019975772923482
0,2.5,0.473178253195965,0.0221533798205595
0,2.5,0.435660961144035,0.0269479860523417
0,2.5,0.416796045093598,0.0230895838831822
0,10,0.394242778055146,0.0222883057006084
0,10,0.443901481661828,0.0237272935888101
0,10,0.468371213224982,0.0232937763801229
0,10,0.399032418556487,0.0269689376491711
0,10,0.365051501284714,0.0230502918148781
0,60,0.358954029546147,0.0295453581335392
0,60,0.413262789736271,0.025374951098734
0,60,0.37096930221107,0.025083179534168
0,60,0.414212115252661,0.0308886328809797
0,60,0.404812160889535,0.0272282928537362
0,120,0.363143031844171,0.0285617796869062
0,120,0.347639028597482,0.0298679975901196
0,120,0.446081794720855,0.02496596755953
0,120,0.444366374649437,0.0227012463285829
0,120,0.362677368802927,0.0264436472246097
