t,tpSTAT3_Obs,SOCS3RNA_Obs
0,0.276027690594595,0.000938540109340141
6,NaN,0.000949200634984223
10,NaN,0.000846269319420419
15,8.54008914757154,NaN
20,NaN,0.000612094675775843
25,NaN,0.00033228497855414
35,9.23890183916912,6.9719314794019e-05
40,NaN,7.1595746913736e-05
50,10.431345119167,NaN
55,NaN,9.47132017274635e-06
65,NaN,-5.80606642458862e-05
70,8.49528495752741,NaN
80,NaN,1.73934307509521e-05
90,8.11129860654935,NaN
95,NaN,-3.17940077319371e-05
100,7.99084469166631,NaN
150,8.12330698491586,NaN
200,6.41574928292402,NaN
250,6.15039812313034,NaN
300,5.49397516140466,NaN
350,5.23323507661104,NaN
400,5.5638587070162,NaN
450,4.83663581732751,NaN
