t,input_il6,STAT3_Obs
2300,0.1,24.4763597226704
2300,0.1,32.2149447511046
2300,0.5,29.6312591530468
2300,0.5,26.673125651007
2300,1,27.3005953693986
2300,1,39.9010601767205
2300,2.5,32.5136408644135
2300,2.5,26.0713473733366
2300,5,23.3432989356378
2300,5,33.8760947645404
2300,10,29.054396215964
2300,10,31.4651299258286
2300,25,30.4574364286616
2300,25,26.4279401493214
2300,50,29.1292234744482
2300,50,28.7103766913175
2300,100,27.6801518988343
2300,100,33.3833591273901
2300,500,25.5344959383657
2300,500,32.1334915239078
