t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,-0.00192038272919733,7.36013744927144,-0.135487135579989
9.5,NaN,NaN,12.2296987767162
10,0.0406714472066975,NaN,NaN
15,NaN,7.14625454770298,NaN
20,0.00900567683317683,NaN,39.4834216709121
30,NaN,10.2191931286176,7.92623023708323
35,-0.00174935581306087,NaN,NaN
40,NaN,NaN,4.70811780980858
45,NaN,19.258572387226,NaN
50,0.000133229688876702,NaN,NaN
55,NaN,NaN,2.58705861828901
65,-0.00280963773654035,15.5602935312508,NaN
70,NaN,NaN,1.72037269092166
85,-8.75815113714218e-05,15.9927469105909,-0.543508345637722
100,0.00198655294233245,10.9628209138332,-2.23216844752761
150,-0.000734090595804752,11.2074153826116,-0.838739626285383
200,NaN,18.0821452531783,NaN
250,NaN,12.3305631789999,NaN
300,NaN,22.8334288762217,NaN
