t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000516836926359697,12.4085724680856,-0.20192783416621
9,NaN,NaN,9.82210804038485
15,0.0293277418762533,12.2363872046174,NaN
20,NaN,NaN,34.0173112978892
25,0.0010522248192532,NaN,NaN
30,NaN,NaN,11.9271844318615
35,NaN,13.9782190846635,NaN
40,-0.000915879354925349,NaN,2.23647175236323
50,NaN,NaN,-0.749130481509362
55,0.000674164405594599,26.0577627305735,NaN
65,NaN,NaN,3.22207906845378
70,NaN,19.4411252321526,NaN
75,0.00118541308905002,NaN,NaN
85,NaN,NaN,0.859485877408517
95,0.0039093645982568,21.2036271516897,NaN
100,0.0058470687236493,24.2847511835254,-1.66531782539544
150,-0.000188873842805112,11.1543845389618,-1.47003122429313
200,NaN,8.03958103481565,NaN
250,NaN,25.5023729279924,NaN
300,NaN,9.1473024046047,NaN
350,NaN,6.0375310711082,NaN
450,NaN,9.49836537488075,NaN
