t,pJAK1_gp130_Obs,nSOCS3RNA2_Obs,SOCS3_Obs
0,0.00143485368479864,2.33433033111656,21.8661065516511
7,NaN,NaN,-27.5793509631784
7.5,NaN,48.9828725495855,NaN
15,NaN,87.9934156182892,87.5112305008743
20,NaN,NaN,273.327162323691
25,0.00171163901556951,30.8576940724717,NaN
30,NaN,NaN,435.614690960854
35,NaN,14.1627688933139,NaN
40,NaN,NaN,260.165182526062
45,-0.000707807310471743,0.476134329754897,NaN
50,NaN,NaN,167.091959158728
55,NaN,6.64130037642307,NaN
60,NaN,NaN,65.4835846055794
70,0.00161673972487648,-10.4432248205165,NaN
75,NaN,NaN,-0.0730441785539835
85,NaN,3.66949664104256,NaN
90,NaN,NaN,26.1092343745948
100,0.00855598960651133,-0.0755910183922267,-9.78962594877932
150,0.00492003295715214,NaN,NaN
200,0.00470635771633972,NaN,NaN
250,0.0096891597131653,NaN,NaN
300,0.00522826434474291,NaN,NaN
350,0.00557470029543551,NaN,NaN
400,0.00599813892547939,NaN,NaN
