t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000680910045309741,8.85838725122374,0.152661853080417
9,NaN,NaN,7.66164024857228
15,0.000537693842900874,8.815734136967,NaN
20,NaN,NaN,20.7565137849055
25,6.27436791336661e-05,NaN,NaN
30,NaN,24.4646461904531,6.05790345242761
40,6.57459464234783e-05,NaN,0.758851041080322
50,NaN,9.31367012873403,0.234375124722082
60,6.43890465372575e-05,NaN,NaN
65,NaN,12.5616403105348,-0.20834152688404
75,-0.000131761285376979,NaN,-1.25184118512058
85,NaN,18.4363890843767,NaN
95,NaN,NaN,1.05059245029393
100,8.8716884178956e-05,16.7334184420751,-0.329703447836712
150,0.000273217847644678,9.95156201981421,0.393226526664236
200,NaN,22.614408565113,NaN
250,NaN,16.6389176493153,NaN
300,NaN,14.4745879451846,NaN
