t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.00360129875259087,17.6267833084786,0.0244611403204307
5,NaN,NaN,0.0181293194757309
10,NaN,NaN,0.00880112380042898
15,0.0338796408682562,NaN,0.00520810581306632
20,NaN,3.34866636212377,0.00353826369303542
25,NaN,NaN,-0.00146764890002706
30,0.0327733315035602,NaN,NaN
35,NaN,10.009340054116,0.00175528595122759
40,NaN,NaN,1.39780483827957e-05
45,0.0263090192447887,NaN,NaN
50,NaN,NaN,-0.00394844735785502
55,NaN,7.9025686258743,NaN
60,0.0158893000014578,NaN,NaN
65,NaN,NaN,0.000106781747723274
75,0.015550678668997,7.78994844479939,0.00276480146000245
95,NaN,6.25894681643135,NaN
100,0.0209532910269421,3.96460284578266,NaN
150,0.00869068738192937,9.38615461942008,NaN
200,0.0181961529589132,6.92940483559353,NaN
250,NaN,5.93954494275014,NaN
300,NaN,10.6524437405609,NaN
400,NaN,9.539532613612,NaN
450,NaN,17.0207517036758,NaN
