t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,-5.33827754164811e-06,19.988976347525,3.00215808203684
9,0.00822675772918665,NaN,NaN
10,NaN,8.50730400265597,30.5654926814083
20,0.000405640314822352,13.6615747178713,40.6922514951078
30,-7.8951963780624e-05,NaN,7.57556564180144
35,NaN,10.7843248334057,NaN
40,9.85437721302755e-05,NaN,NaN
45,NaN,NaN,4.42122136814439
50,-0.000173216976519018,10.1074321874362,NaN
55,NaN,NaN,1.74888431576617
65,0.000244264793539378,19.3211363156727,NaN
70,NaN,NaN,-5.03768898119173
80,0.000208451372908139,NaN,NaN
85,NaN,17.0094628973753,NaN
90,NaN,NaN,0.511066602900102
100,0.000277228743591277,17.1221881316651,2.66317853403925
150,NaN,9.74429957171459,0.295150577886539
