t,input_stattic,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
0,0,0.000638147600847308,0.0217443746362169
0,0,0.000984823010627217,0.0193588405158179
0,1,0.000435829972446921,0.026824027369763
0,1,0.000739545681607632,0.0237952479831184
0,5,0.000584262967168969,0.0146071958204666
0,5,0.000682452330751917,0.0305328673892627
0,10,0.000817148751239598,0.0331016409770832
0,10,0.00095995076128406,0.0282317340270619
0,20,0.00045838866014012,0.0163747342411728
0,20,0.000730692331016727,0.0322075137546422
0,50,0.00058321895730079,0.0217986634866684
0,50,0.000765931713950752,0.026679789154657
