t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000868511755624023,25.5175548465935,1.07916222453456
10,NaN,NaN,33.5779361460039
15,0.026089463021365,10.410566779577,NaN
20,NaN,NaN,50.6278987543173
25,0.000821473359405568,NaN,NaN
30,NaN,NaN,8.48511868051818
35,NaN,9.98987139737894,NaN
40,0.000401722212460919,NaN,NaN
45,NaN,NaN,-0.0305828470076288
50,NaN,22.220128443635,NaN
55,0.00154098406364633,NaN,NaN
60,NaN,NaN,-0.571673663579926
70,NaN,11.3080514849771,NaN
75,0.000495453736117135,NaN,2.14351490583679
90,NaN,17.0341421372889,NaN
95,NaN,NaN,-4.86726386959015
100,-0.000608894108789886,17.7157456691086,3.06503592075012
150,0.000922050192882614,19.3857762667544,NaN
200,NaN,18.25570642578,NaN
250,NaN,13.6396226647731,NaN
300,NaN,15.0512983308993,NaN
350,NaN,12.2104740208456,NaN
