t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000132968470609698,6.89504116062032,2.36777861185783
10,0.0399018563345493,NaN,13.2771042695826
15,NaN,16.5304948430429,NaN
20,NaN,NaN,38.6946993851653
25,-1.84296081791875e-05,NaN,NaN
30,NaN,19.3061356662338,11.7334722222473
40,0.00219429227281981,NaN,NaN
45,NaN,NaN,0.229567180371584
50,NaN,11.8321282003114,NaN
55,0.00129132152430714,NaN,NaN
60,NaN,NaN,5.54022063133096
70,0.000674227972414943,12.0991992164139,NaN
75,NaN,NaN,0.42382823385562
90,NaN,11.6116480315753,NaN
95,0.000188069595070085,NaN,2.02077749665508
100,0.000268625440638132,17.6459258778979,-0.0718389320863289
150,0.00166339752389042,13.8999523423009,1.69559079886755
200,NaN,12.4139306100476,NaN
250,NaN,13.7910511654445,NaN
300,NaN,15.9779794671402,NaN
