t,input_il6,STAT3_Obs
780,0.1,10.7455300171267
780,0.1,24.4001306882499
780,0.5,8.00046430699306
780,0.5,16.8250553116799
780,1,14.1235866998703
780,1,26.0188264298522
780,2.5,10.6595439355251
780,2.5,18.9804553245281
780,5,14.0248637236768
780,5,22.4154525726761
780,10,13.0816701667913
780,10,16.8362094141522
780,25,11.3525460098891
780,25,14.1917529757601
780,50,6.61231719621119
780,50,18.9716614625317
780,100,8.98733640043977
780,100,17.5645337528485
780,500,12.4184449517782
780,500,12.5469674824361
