t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.000873353194857228,20.155549357251,1.32808377419654,0.720639794236174
7,NaN,NaN,10.3775542538133,NaN
8.5,NaN,7.87269316003436,NaN,NaN
9.5,NaN,NaN,NaN,0.494372120051996
15,0.026977416791054,NaN,60.160496619497,NaN
20,NaN,8.47432927598447,45.7154431148536,24.1206861842242
25,NaN,20.934292973107,NaN,NaN
30,0.00164535379664259,NaN,11.7769371712659,36.9346256578582
35,NaN,21.5890628036384,NaN,NaN
40,NaN,NaN,1.22003498465246,25.0513576487763
50,0.000760510882071201,22.0812236047817,3.63140033677575,NaN
55,NaN,NaN,NaN,-0.802626838463975
60,NaN,10.6338698464094,-1.66692600287943,NaN
65,0.000120464016467857,NaN,NaN,NaN
70,NaN,NaN,NaN,1.42562112179573
75,NaN,18.1707311215081,-0.332332787681288,NaN
90,0.00440108783410582,NaN,5.28242888618504,-0.141051447366738
95,NaN,21.83207315383,NaN,NaN
100,0.0063660643397377,22.198812022086,-0.278371876170649,-2.19476319968364
150,0.00418500970004393,15.0488988409152,NaN,-1.34985567674932
200,0.00356117869330053,NaN,NaN,NaN
