t,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
0,-0.0020102753338165,0.0440266383113442
9.5,NaN,0.0570651994183609
15,0.0317602902975772,NaN
20,NaN,0.668535305397056
25,0.0324036381071725,NaN
30,NaN,0.886114777480144
40,0.0173887220234734,0.359241156164502
55,0.00925715956588901,0.0613840614056061
70,NaN,0.0302866362790705
75,0.0061540318206186,NaN
85,NaN,-0.0346616410309092
95,0.0137603576293223,NaN
100,0.0117391452951572,0.0936448394885533
150,0.0172569990389038,-0.0590878829045744
200,0.0233996757145879,NaN
