t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000460808556086764,19.9433545716487,0.872704378764985
9.5,NaN,NaN,11.3272629341017
10,0.00330085850137481,NaN,NaN
20,0.00015200020056139,18.1136889128037,22.3562937884984
30,NaN,NaN,7.17361113976147
35,-6.34067254200796e-05,17.0069187978056,NaN
40,NaN,NaN,0.866129982943869
50,-3.64951974918916e-05,NaN,NaN
55,NaN,18.9559868627453,-0.576562503248981
65,-3.70390264639345e-05,NaN,NaN
70,NaN,NaN,-1.12829853618457
75,NaN,17.5224036208144,NaN
85,5.01232012894454e-05,NaN,0.303635042741645
100,-0.00016582852486006,9.70025016592538,0.947742695271477
150,0.000381533994254798,27.083838258258,2.03285363206874
200,NaN,18.7610704309147,NaN
250,NaN,16.504429246477,NaN
300,NaN,8.35672196321511,NaN
350,NaN,9.884986372587,NaN
