t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,-0.000945763196295241,10.3571029092684,-0.248661999258105,0.92760057503582
7.5,NaN,NaN,NaN,-0.746104220809071
8,NaN,NaN,4.81025591334041,NaN
10,0.0389531904664022,15.2171185703292,NaN,NaN
15,NaN,NaN,40.239938553879,3.52765356157871
25,-0.00173476673466544,14.4421578018448,20.3648544526152,18.8288245863651
35,0.00250766106638377,NaN,6.97645779548274,22.9005227284268
40,NaN,16.5649063387488,NaN,NaN
45,NaN,NaN,-0.844654983904264,13.1984765526766
50,0.00108672036030498,NaN,NaN,NaN
55,NaN,14.7399573283299,-0.320230814677318,5.53223391727925
65,0.00183235899222636,NaN,NaN,0.726643092061189
70,NaN,13.5082986769524,-2.97723035821731,NaN
80,NaN,NaN,NaN,2.06803241711459
85,0.00155317364255935,NaN,-0.783844593938877,NaN
95,NaN,16.6268398130094,NaN,NaN
100,0.00719319831532697,5.83627126808973,-1.28008096571832,-1.52553382245654
150,0.00414934350470296,21.1386257416422,-1.30223524882482,NaN
