t,input_il6,SOCS3_Obs
630,0.1,-0.0200923455242882
630,0.1,-0.0843767329554422
630,0.5,0.32876079983648
630,0.5,-0.0356046814741264
630,1,0.424125986815843
630,1,0.584884050232994
630,2.5,1.53878561692161
630,2.5,1.10975338678132
630,5,0.519688274491256
630,5,0.544515968012528
630,10,0.722426240415158
630,10,0.923208859631611
630,25,2.26262112513344
630,25,2.38262098327109
630,50,0.87454159554744
630,50,0.686252993486136
630,100,0.300529433798309
630,100,0.0451478539405911
630,500,0.412272042028525
630,500,0.255633729650663
