t,input_ruxolitinib,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
26,0,0.00350371791672331,15.4514317494989
26,10,-0.0141359538297376,22.3568870920831
26,10,-0.000500448933683478,20.0854134018045
26,50,-0.00423394044261461,20.5018037662714
26,50,0.0493961777776204,5.31877386630791
26,100,0.00905794881921008,18.8714972981541
26,200,0.00851689652365582,13.9704299023217
26,200,0.0501855152252536,2.67602820035498
26,400,0.0190824838177071,15.6908742601808
26,500,0.00768200762579986,16.9310306457455
26,500,0.0029174703322769,18.4699893165505
26,600,0.0175681971886347,10.0563091964384
26,800,0.00982335218630847,12.1039324369463
26,800,0.035643485109728,-1.18968445344564
26,1000,0.0441231077828295,1.15894256351312
26,2000,0.0514601212548005,0.928947797285752
26,5000,0.0352046035873379,-0.400885875443405
26,5000,0.0444409723616239,10.4683342846883
26,5000,0.0328289159592675,5.49310541788213
26,5000,0.0380911099560935,5.15811182818913
