t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,-0.000839345929508892,9.10757408062601,0.379844004343934,-0.604707043395015
9,NaN,14.0081568491552,NaN,-0.0133637386799173
10,0.018546746844603,NaN,0.942581370757904,NaN
20,NaN,17.0205892403267,NaN,2.28502608559582
25,0.00673842121817006,NaN,9.4746269735425,NaN
30,NaN,7.22205785595895,NaN,6.41949138208773
35,NaN,NaN,2.39921864911414,NaN
40,0.000447171008988103,18.9581646285711,NaN,6.35466034560926
50,NaN,23.7057313800551,-0.00218360279972957,2.4001003829725
55,-0.000298731925210205,NaN,NaN,NaN
65,NaN,14.1585696447463,-0.0234674821052514,-0.344316644831994
70,-0.00035398213156163,NaN,NaN,NaN
80,NaN,NaN,NaN,-0.295252226094366
85,NaN,3.82520797573285,0.314300579351952,NaN
95,0.00327188123221826,NaN,NaN,NaN
100,0.00613758621376515,12.6571625245579,0.87113389986804,-0.859416996016805
150,NaN,10.9357027160572,-0.282219862205955,-0.33053876845918
