t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
15,0.1,-0.00922374747584976,4.49092387208553
15,0.1,-0.00293504198437493,-9.08648561332077
15,0.1,-0.000486741926488931,0.778362400465624
15,0.1,0.00718871551972118,-3.03851191365031
15,1,0.00250005543249949,-4.26207205092806
15,1,0.00293805650232182,1.66500128957603
15,1,0.00356226406552912,0.1372385993287
15,1,0.00548978237117584,7.7252365500658
15,5,0.00612021257650083,-7.79902620484778
15,5,0.0140328217916602,25.8053709158868
15,5,0.0149747164881498,-6.57718025327439
15,5,0.0155778645347757,9.68375098761472
15,10,0.0111762572291235,8.68101674740079
15,10,0.0140104858170112,3.19349920326186
15,10,0.0179357105652134,18.9081277469318
15,10,0.0213984176434862,13.9409242169237
15,50,0.0241109985316415,43.0260338546678
15,50,0.0245519916195819,57.2575330134639
15,50,0.0297391551149998,43.5538634017974
15,50,0.0335988391303097,50.3346776695767
15,100,0.024041571949722,61.6176852784978
15,100,0.0247971394765013,67.0924185567954
15,100,0.0290543920521436,75.9993723482585
15,100,0.0304474262401474,60.2597674708303
15,500,0.0116451538782041,81.3843091736761
15,500,0.0122376830373133,100.358758606511
15,500,0.0127425653540753,95.059077589242
15,500,0.0158138431833908,93.4438631551909
