t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.000174513007533511,14.6347798894397,0.0248675290832476,0.0235318379933216
4,NaN,NaN,0.0186772659571463,NaN
5.5,NaN,NaN,NaN,0.0285620546009689
8,NaN,NaN,0.0119439506997176,NaN
10,NaN,NaN,0.0076905319443783,0.0211255673182129
15,0.0208768423681049,NaN,0.00548977073671717,0.0201944212700773
20,NaN,6.35303075556573,0.00101318162424146,NaN
25,0.0257702371355862,NaN,NaN,0.00896374251704557
30,NaN,NaN,0.00106840713139823,0.00676980974559972
35,NaN,7.82541250602884,0.000450874490339,NaN
40,0.0220827308491265,NaN,NaN,0.000809513039141819
45,NaN,NaN,-0.0031811046375544,-0.000465553714402575
50,NaN,NaN,-0.00445865454864669,NaN
55,0.0184537173560576,7.16721310380316,NaN,0.000807735011219603
65,NaN,NaN,0.00316056100132428,NaN
70,0.0152132286012578,NaN,NaN,-0.000767336846470216
75,NaN,5.46052298531728,NaN,NaN
80,NaN,NaN,NaN,-0.00241486156208034
90,0.0154758592994513,NaN,NaN,NaN
95,NaN,NaN,NaN,-0.00223952895873531
100,0.0165493045103124,7.73210089829385,NaN,NaN
150,0.019322596140964,1.66917058225994,NaN,NaN
200,NaN,9.03921554311939,NaN,NaN
250,NaN,10.5515647299505,NaN,NaN
300,NaN,6.2000044120101,NaN,NaN
350,NaN,11.8342434282523,NaN,NaN
400,NaN,11.8444862381252,NaN,NaN
