t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,-0.00541995821417735,17.0496709617968,-0.026087377284817
3.5,0.0906349775192227,8.13225476629658,NaN
6,NaN,NaN,4.65914838485683
7,NaN,-0.886655836146196,NaN
7.5,0.0519140688071946,NaN,NaN
10,0.0487465839276024,3.35519136211912,31.3800800891426
15,0.0321852971529217,12.7841866273376,NaN
20,0.00737961418114144,22.2744239664057,49.4613869526297
25,-0.0025693276137485,21.6678386910113,25.7995290844187
30,-0.00583297201981463,15.8112737133658,NaN
35,NaN,15.4004617227503,10.3850007153886
40,-0.00145115733008728,NaN,8.28308167966174
45,-0.00381985776004433,23.9960286743659,NaN
50,NaN,NaN,1.06634918587557
55,0.00637153885779476,17.3327503891598,NaN
60,NaN,NaN,-0.26496793064525
65,-0.00369157011630579,14.5303003741174,NaN
75,NaN,NaN,1.36342340023665
85,NaN,NaN,2.18292486101851
100,NaN,NaN,-0.457940058259317
150,NaN,NaN,0.252403285782298
