t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.00139797033749765,22.3844202822072,-1.37122921049407
7,NaN,NaN,10.3168012926618
8,NaN,7.22753342004919,NaN
15,0.0257765760865687,5.06902279128272,63.0675273607196
20,NaN,NaN,47.9948492533779
25,NaN,17.7909721764732,NaN
30,0.000801399956839846,NaN,21.9712449952149
35,NaN,22.055363390514,NaN
40,NaN,NaN,8.21017783274612
45,0.00126221527928166,11.0134101307611,NaN
50,NaN,NaN,2.9504294904792
60,0.000446794894565914,19.0038135997239,-3.37911470288085
75,NaN,9.72819780753003,-3.31005314012378
80,0.00263207284713445,NaN,NaN
90,NaN,19.7296512454185,5.883398916675
100,0.000387573854884445,12.9203150372368,1.72448596622459
150,0.00120010400887264,NaN,NaN
