t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,-0.000271629797498003,19.1390583107412,1.55364539741329
8.5,NaN,NaN,13.9759885715559
10,0.042511507464739,NaN,NaN
15,NaN,18.575236357222,56.9797993689537
25,-0.000224738406625146,NaN,22.8580987414405
30,NaN,18.6641947923927,NaN
35,NaN,NaN,4.71697888872985
40,-0.00104206668502923,NaN,NaN
45,NaN,17.274293734474,NaN
50,NaN,NaN,5.20438386612401
55,0.000139294058837739,NaN,NaN
60,NaN,NaN,-2.02495456156944
65,NaN,21.0627240972096,NaN
70,-0.00204705964557516,NaN,NaN
75,NaN,NaN,-1.44919860630106
85,NaN,14.5564484607723,NaN
90,-0.00247986660300691,NaN,NaN
95,NaN,NaN,-4.87350842044729
100,0.000474295531846996,15.6269953142804,-0.579351473369545
150,0.000651300270970523,18.5110963406278,NaN
200,NaN,12.7423816486764,NaN
250,NaN,10.8030612942618,NaN
300,NaN,23.8877432355279,NaN
