t,input_il6,STAT3_Obs
1900,0.1,16.865218081458
1900,0.1,17.6509502970163
1900,0.5,16.9102703730617
1900,0.5,18.5624262316328
1900,1,12.6631585765239
1900,1,16.6639222008293
1900,2.5,15.3656708560099
1900,2.5,16.6291576284681
1900,5,10.2660436904039
1900,5,17.1717609565983
1900,10,9.09271840034107
1900,10,18.4310304031984
1900,25,14.9978638828843
1900,25,22.9917822736565
1900,50,15.4431782146463
1900,50,18.6853516271962
1900,100,14.4422819224617
1900,100,23.2753019484299
1900,500,14.7045157206312
1900,500,17.9882538728576
