t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.00364630692303499,15.1371611251626,-3.36007172060152
9.5,NaN,NaN,2.4805703607257
10,NaN,8.25547413418446,NaN
20,NaN,NaN,0.39086567761175
25,0.0221242864925511,9.73766719057119,NaN
30,NaN,NaN,3.2533070008582
35,NaN,4.97990827385563,NaN
45,NaN,NaN,63.3271975968364
50,-0.00111376605619896,20.9301015347393,NaN
55,NaN,NaN,14.5319876258287
70,NaN,17.2697650006969,-0.472910071304898
80,-0.000692396575853232,NaN,NaN
90,NaN,11.9188370890848,-4.36757131288653
100,0.00320976934990953,15.9921249154402,1.25267226333499
150,0.00435811855872507,22.4936141763453,2.58591954175205
200,0.00840415850497471,NaN,NaN
250,0.00319228435555879,NaN,NaN
300,0.0068057345640842,NaN,NaN
350,0.00538478736623555,NaN,NaN
450,0.0065674625956563,NaN,NaN
