t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.00276182992899296,19.9545318102837,-1.27935491478097
10,NaN,NaN,29.2181456507193
15,0.0270026905192717,12.0283353618247,NaN
20,NaN,NaN,50.3261302596243
30,NaN,21.0569087528901,NaN
35,0.00144158582220462,NaN,8.71443284724557
45,NaN,14.1047308917737,2.18039776084195
50,-0.000568754951546647,NaN,NaN
60,NaN,17.2255834297823,3.45109869358273
70,-0.000248843242377967,NaN,NaN
75,NaN,NaN,4.31273970170502
80,NaN,23.5764625430708,NaN
95,-0.000287471632848437,NaN,-3.63937390017393
100,0.000912053698784084,15.7931784438968,0.614720486401855
150,0.00042816465469416,19.4506817081296,-0.889116913075864
200,0.0011226982492058,15.5223374365921,NaN
250,NaN,19.2169938457069,NaN
