t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
24,0.1,-0.00330943000245466,0.980314431785716
24,0.1,0.00106852460736897,2.12203830411226
24,1,0.00124664503622111,-5.08085504755035
24,1,0.00393797002397498,6.30484618941175
24,5,0.00703405106527306,-3.64767088641327
24,5,0.0149559619364947,4.88707221060011
24,10,0.0167040793890367,1.31798793527551
24,10,0.0208074495075729,-1.57515671338978
24,50,0.025272388902671,14.888499562501
24,50,0.0261940304782902,14.16036373059
24,100,0.00809689422544513,22.7093795982329
24,100,0.0107938888092732,21.7130826693099
24,500,-0.00308232401389034,34.8653201272072
24,500,0.00577224544022505,24.7257338247967
