t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,-0.000642386310433361,15.1976973824294,1.1204581053848
8.5,NaN,NaN,8.88105865680069
10,0.0390644305742264,NaN,NaN
15,NaN,9.99488989681234,39.5292151879316
25,0.00038972353948156,NaN,22.3314451466167
35,-0.000595920436758871,8.92005335916814,5.19498097705707
50,7.80277371406391e-05,NaN,2.03521525794811
55,NaN,18.1594025859917,NaN
60,NaN,NaN,-0.885848405406606
70,0.000137533730588051,NaN,NaN
75,NaN,14.1343524782619,1.81791199329316
90,-0.000277587033101742,NaN,NaN
95,NaN,25.324200999195,-1.78853661486285
100,0.00192714072885109,15.9826340490863,-0.485237409292019
150,-0.00020151601573728,23.9542572188553,NaN
200,NaN,19.3227184724068,NaN
250,NaN,18.677019866471,NaN
350,NaN,15.5393752718565,NaN
