t,input_il6,pJAK1_gp130_Obs
550,0.1,-0.00172128871715016
550,0.1,0.00226274849991261
550,0.5,0.00151898313548162
550,0.5,-3.03538149401959e-05
550,1,0.000498909629818597
550,1,-0.00023890380414781
550,2.5,0.00213068978719208
550,2.5,0.00575323941361084
550,5,0.00644238594910757
550,5,0.00710607006671372
550,10,0.00287431884477617
550,10,0.00394428570417359
550,25,0.00393207436080005
550,25,0.00522883554668239
550,50,0.00492422563347531
550,50,0.00441489052678177
550,100,0.00460384692060422
550,100,0.00481505975988958
550,500,0.009630556824931
550,500,0.00822811867108288
