t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000710052252134469,3.05952732435499,-0.481631037961459
8.5,NaN,6.7044783981057,NaN
15,0.000901914524072735,NaN,70.8604027832087
20,NaN,8.9046170061261,NaN
25,7.06248091847255e-06,15.5680072842163,NaN
30,NaN,NaN,15.1025042719388
40,-1.23154221516487e-05,22.3697063283369,NaN
50,NaN,17.7644277934999,3.31446741436676
60,-3.50830952322845e-05,NaN,NaN
65,NaN,13.9349773559933,0.277806970600507
80,-6.00865084800487e-06,15.3433329767712,NaN
85,NaN,NaN,4.36206098417462
100,0.000204818073639411,19.2041723614762,1.15142312171589
150,0.000237467652740689,NaN,2.16339458643479
200,NaN,NaN,-4.55542598604992
250,NaN,NaN,-0.528657053035064
300,NaN,NaN,-1.10009666266097
