t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.000355071878654531,9.98072720515282,0.436477923720327
10,0.0290327707151654,6.74863484441634,3.26249287385945
20,NaN,16.2571686126334,NaN
25,0.000891910171455443,NaN,15.9027828381821
35,-0.000466123202949932,20.1906884622879,NaN
40,NaN,NaN,1.85437160705887
45,NaN,15.744072661064,NaN
50,0.000476947086393735,NaN,NaN
55,NaN,NaN,-0.480606768822608
60,NaN,15.5795283820742,NaN
70,0.000962224506016122,NaN,-1.3191117028571
80,NaN,13.9880385269923,NaN
85,-0.000364004735853367,NaN,NaN
90,NaN,NaN,0.309523942620474
100,-0.000465187748418551,18.241990857551,1.01265623701087
150,0.000400215431256461,12.2616381416488,0.234021556069567
