t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
0,0.00105913650333272,18.15963226108,-1.82810319942814
9.5,NaN,NaN,7.64657487640903
10,NaN,13.3151985551925,NaN
15,0.0286233808385853,NaN,NaN
20,NaN,9.19622644849109,33.0336002945364
25,-3.95722102979149e-05,NaN,NaN
30,NaN,NaN,10.5219141442514
35,NaN,19.6208880940504,NaN
40,9.17007407221912e-05,NaN,1.74051427811756
50,NaN,10.3560269968843,NaN
55,-0.00222534194950096,NaN,-1.97034906579557
65,NaN,11.3521698521589,NaN
70,NaN,NaN,0.52630689942885
75,-0.00134080320880584,NaN,NaN
80,NaN,15.6009530702537,NaN
90,NaN,NaN,1.36095494797101
100,0.000267321959283694,13.3076685632388,1.14169880376761
150,-0.00315155378172393,12.4313097073233,NaN
