t,input_il6,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
26,0,0.000313223916034648,-2.7055123605667
26,0,0.000663171353142783,-0.606100134015549
26,0,0.00137062411963955,0.248941289081734
26,15,0.00320798728547877,14.0106918658937
26,15,0.0039093901004995,10.7719592812322
26,15,0.00415138342878994,9.06326982618071
26,30,-0.000181833098279943,18.0147699364861
26,30,0.000486162417541852,28.0332166316067
26,30,0.000636396819042624,22.2461973697107
26,60,7.35678286167358e-05,22.293248852738
26,60,0.000329215198967581,28.5665295496767
26,60,0.00052320776504864,22.8998329007999
26,120,5.50241957487527e-05,20.252869454885
26,120,5.76448634175965e-05,30.0605375452936
26,120,9.27739865248192e-05,28.0769127376585
