t,pJAK1_gp130_Obs,nSOCS3RNA2_Obs
0,0.000869157231753097,0.0193403184086218
10,NaN,0.0237726268050016
20,NaN,0.0805892211030362
25,0.00190800738532,NaN
35,NaN,0.14845533814474
45,0.00202022459177181,NaN
50,NaN,0.109876048106665
65,NaN,0.0352466123401186
70,0.00132662283473869,NaN
80,NaN,0.0209677968849477
95,0.00125370401772654,NaN
100,NaN,0.0694371274978168
150,0.000719970592458917,0.0282975079938803
200,0.00115763107450506,NaN
250,0.00133208739431641,NaN
300,0.00138397395440714,NaN
350,0.00101994343864118,NaN
400,0.000848972659255833,NaN
