t,input_il6,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs
6,5,0.0174884481865966,7.62390197875874,0.581381500571494
6,5,0.0106800656729901,10.1975297107003,0.0812125602227399
6,5,0.0236852880589997,11.8438560181897,0.233859307983166
6,5,0.0410962480364201,14.7302506048284,-0.416762522658231
6,20,0.036565622779025,11.1700273573026,0.619101630907558
6,20,0.0663570470548185,12.187805974918,0.98777775856931
6,20,0.0718857812873551,9.64688816731262,1.17463607464476
6,20,0.0605676179692319,8.4844167820647,1.02486351211725
6,40,0.0151859370014578,14.8895203604312,-0.571869749929765
6,40,0.00158910798905575,15.6654487466174,0.00125757343526941
6,40,0.00574790180541344,17.6721660138676,0.818323383297943
6,40,0.00385551765465967,21.6436188820589,0.934457478702132
6,90,0.0575623988197141,-0.234579658133449,5.27592286909843
6,90,0.0640937687745983,6.44307761298988,4.14370007432753
6,90,0.0731823511608508,10.8094302232114,4.84066200600235
6,90,0.0602566844595407,9.25180848776347,4.24986102747776
