t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,0.000709339707548253,10.3093963208923,-0.541775267854237,0.493193203457839
10,0.0293687819308022,5.51243890386214,5.05112130768887,-0.117412184250852
20,NaN,NaN,22.6368626935392,4.82187623385025
25,0.00228028560124075,10.8146369405816,NaN,NaN
30,NaN,NaN,NaN,11.4374869360102
35,NaN,15.6321735263811,4.08636609420928,NaN
40,-0.000975202724574631,NaN,NaN,NaN
45,NaN,NaN,0.606405625658622,9.60618174685527
50,0.00104782877683377,13.8373847634524,NaN,NaN
60,NaN,NaN,-1.47556673142887,0.118286106267249
65,NaN,16.0824584472967,NaN,NaN
70,0.00143178056215809,NaN,NaN,NaN
75,NaN,NaN,NaN,0.55145216543132
80,NaN,NaN,-1.7848359032215,NaN
85,NaN,16.5369318901615,NaN,NaN
90,0.00198575478571528,NaN,NaN,NaN
95,NaN,NaN,NaN,1.36870384744983
100,0.00556083716633426,15.2632584344862,0.409739347172801,0.455426357189964
150,0.000958700077151859,12.6198623419019,1.66423548646231,NaN
