t,pJAK1_gp130_Obs,STAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA5_Obs
0,-0.000294201654756685,19.4094844871101,0.33087114809327,-0.0140733439326618
10,NaN,11.856079547006,0.190952816757066,0.349945096026313
15,0.00897384931121397,NaN,NaN,NaN
20,NaN,12.9938630316566,3.61099957587371,0.0514640390519998
30,0.00450313052774915,NaN,2.8378007861656,NaN
35,NaN,18.6047000324082,NaN,2.53950341218009
45,9.26498651462991e-05,17.3158361440288,-0.169347796692818,2.33900713767949
60,NaN,28.4113497351148,0.614582946422059,0.447888094237016
65,-0.000259992704279463,NaN,NaN,NaN
75,NaN,NaN,-0.121194102616098,NaN
80,NaN,20.1477998057174,NaN,-0.0848764739988461
85,0.00138940082071958,NaN,NaN,NaN
100,0.00180967153873686,18.9307819685396,-0.0716010084746865,-0.272421569783019
150,0.00209213385304956,12.5799472021811,NaN,-0.127969343900627
