t,IR_Obs,IRi_Obs,XXp_Obs
0,9.79199875441044,-1.65683992355704,-0.000573415622102339
1.5,-0.639400012011105,NaN,NaN
3.5,-0.0783321379242696,1.55576814495552,NaN
4.5,NaN,NaN,0.00694808160822598
5,0.152611496929526,NaN,NaN
7,-0.136430358508407,NaN,NaN
7.5,NaN,1.63573863060134,NaN
9,NaN,NaN,0.00711949949169111
9.5,0.413981618652271,NaN,NaN
10,0.295057185072334,2.49927817411497,NaN
15,0.0177034468257667,4.98125083655933,0.00528316058370809
20,-0.00595568464740043,5.70749545415209,0.00523669342194996
25,-0.228030090968205,4.29756713877941,0.00640348188452713
30,NaN,5.77527493820374,0.00341255746427177
40,NaN,6.20421678582218,0.00386652058183817
50,NaN,7.47420722438546,0.00369841190802545
60,NaN,6.66904316824118,0.00339947101594899
70,NaN,5.53740582112384,0.00398856533945327
