t,IR_Obs,IRins_Obs,IRp_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,IRSiP_Obs,XX_Obs,XXp_Obs
0,16.2254691918491,0.0117078317677645,1.101548175369e-09,8.76762323936901e-06,0.0217996016217928,23.1950803057006,0.0456208706465443,4.02204545484382,0.000168139652689666
2,NaN,NaN,5.48735107004025e-06,NaN,NaN,3.21900268280714,NaN,NaN,NaN
2.5,NaN,3.12616092464433,NaN,NaN,NaN,NaN,4.21912321279864,NaN,NaN
3.5,0.101029238751592,NaN,NaN,NaN,4.38995233760457,33.2209698115917,NaN,NaN,0.00201885996902669
4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.50992115150753,NaN
4.5,NaN,NaN,1.76756175084107e-07,0.000393318262592286,NaN,NaN,NaN,NaN,NaN
5,NaN,24.4071622014545,NaN,NaN,NaN,NaN,1.73124735226519,NaN,NaN
6,NaN,NaN,NaN,NaN,NaN,33.714774476646,NaN,NaN,NaN
6.5,NaN,NaN,4.57647408090401e-07,NaN,NaN,NaN,NaN,NaN,NaN
7,0.0493022118096653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,NaN,2.32673500443047,NaN,1.31903615432972,NaN,0.00275268385406126
8,NaN,1.95610125068045,NaN,NaN,NaN,11.881925851969,NaN,4.70064841781304,NaN
9,NaN,NaN,6.4222590030974e-07,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,0.000114188920984062,NaN,NaN,NaN,NaN,NaN
10,0.055751811603894,1.32675791541825,2.48993685668178e-06,NaN,2.95500602288332,11.4891752331254,0.690503606862955,18.1696670765142,0.00909804922849598
15,0.062046054562815,2.70017919974555,3.09043125130175e-07,9.08716596089519e-05,7.57210406053669,5.34170702657866,4.44962499501559,21.7048470229509,0.00131514557249839
20,0.204639561023914,6.40793847339565,1.73543701219576e-06,0.000366343100543803,47.1634773313134,19.4470445705541,3.25051198158527,19.2133421765158,0.00644418537135522
25,0.21766622493216,2.10071550706525,7.65933221798449e-07,NaN,4.36674875880494,NaN,NaN,10.6031485782235,0.00454193149678217
30,NaN,2.76373839586341,NaN,0.000106580913180206,8.8674061578489,83.8915000800454,0.999226112340507,NaN,0.00166542239926619
35,NaN,1.72490218476403,7.7999103224828e-07,NaN,NaN,NaN,2.22951565310096,7.71185852593188,NaN
40,NaN,NaN,1.71882209168408e-07,NaN,4.91550344582909,NaN,NaN,24.3548721751599,0.0141905013492084
45,NaN,3.71214906914841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,11.9611234982753,NaN,NaN,12.2946180273525,NaN,NaN,26.4563115069315,0.00219415580258853
60,NaN,NaN,NaN,NaN,15.9119008965235,NaN,NaN,11.0154142839824,0.0015053579270285
70,NaN,NaN,NaN,NaN,6.01973300480618,NaN,NaN,6.3706731195278,NaN
