t,IRp_Obs,IRi_Obs,IRS_Obs
0,6.56331584836962e-10,0.0196693110330797,7.11395112690649
1,NaN,0.111301564059296,9.60840585016126
1.5,3.3531778278821e-07,NaN,NaN
2,NaN,0.717812309896552,11.4953658746597
2.5,6.77044582318458e-07,NaN,NaN
3,NaN,0.282087149981107,11.7989956900627
4,3.11131169830616e-07,0.983036048418339,3.5120927910431
5.5,1.19256327199642e-06,0.089063740197435,4.09985353825967
7,NaN,0.343644462060351,2.36329372679569
7.5,3.05979306669817e-06,NaN,NaN
8.5,NaN,5.83579894409029,2.39357826306238
9.5,8.34487311842537e-07,NaN,NaN
10,9.14016861365397e-07,1.18661167005658,3.53964185973932
15,5.37349071501699e-07,3.49995336790859,10.7028724616565
20,1.8023451055055e-07,5.39302575416656,7.14055113149731
