t,TGFb_Obs,ppS2_ppS2_S4_Obs,geneB_Obs,geneC_Obs
0,0.0542303254535472,-0.0398941365913988,1.01487438848745,0.931446008621109
10,-0.0213284977946502,0.0686861633964487,1.03572371789378,0.913731079524639
20,NaN,0.0137248615342448,1.05665572383845,1.00238829308166
25,-0.0309376530934583,NaN,NaN,NaN
35,0.0720259465033272,0.0351256862813065,1.02415557514508,0.921452684550916
50,0.0274822002720095,0.0359450123063193,0.980572386588867,1.00764484812353
65,-0.0278477465778023,0.0316756320214213,1.01452787125741,1.00705245426538
80,0.0361928754874269,NaN,NaN,NaN
85,NaN,-0.092288465085279,1.00696440397778,1.00497104957273
100,-0.0341319155048019,NaN,NaN,NaN
