t,TGFb_Obs,geneB_Obs,geneC_Obs,Compound_1_Obs
0,1.00130283106451,2.06477249686369,0.992011492505306,240.045565719228
40,NaN,NaN,NaN,126.390812948181
70,NaN,16.3360171518458,NaN,NaN
75,0.441498391189367,NaN,1.09197850596054,NaN
80,NaN,NaN,NaN,149.313061210491
100,NaN,NaN,NaN,156.34047053835
150,0.2314078529099,28.9182291188848,1.04048069127247,180.704241576614
200,NaN,31.3861054593006,NaN,195.89952458595
250,0.112984671586504,NaN,1.10818518701672,211.480885146024
300,0.0848717169396378,36.8680934934771,NaN,228.865628964039
350,NaN,NaN,1.11123158054834,NaN
400,0.0503651738722847,32.8738272167002,1.11847997550284,239.60893176376
450,NaN,30.6795448183637,NaN,233.321771307269
550,0.0224060763252215,NaN,1.04686134761791,220.946649086476
600,NaN,22.4539414515685,NaN,NaN
650,0.00520452564739748,NaN,1.00587796948733,229.963367811802
700,NaN,16.6797392258153,NaN,NaN
750,NaN,NaN,NaN,233.77172156214
800,NaN,NaN,1.03020489535328,NaN
850,0.00995473705681035,8.69692378529604,NaN,NaN
1000,0.00169973012088476,5.42419669949636,1.10962553606587,NaN
1500,-0.00298486092675128,1.3904191601007,1.01529891752811,NaN
