t,TGFb_Obs,geneB_Obs,geneC_Obs,Compound_1_Obs
0,1.01197181516177,0.743621098355427,0.976084717551388,15.3331692442358
65,NaN,10.3948801669936,NaN,NaN
70,NaN,NaN,0.970881443747384,20.3517262619736
75,0.441904114934692,NaN,NaN,NaN
150,0.223477222655978,17.5336967704331,1.18798134871669,21.9007251522303
200,NaN,20.9268242705733,1.1676636753976,20.8378001870703
250,0.105929729133829,22.0914553534079,NaN,NaN
300,NaN,NaN,1.13857827911547,19.9786516635825
350,0.0589684864349938,20.9808825566449,NaN,NaN
400,NaN,NaN,1.11396967552996,NaN
450,0.0213379465025385,17.4985715378488,NaN,16.5254915508168
500,NaN,16.6699507068766,1.04540364147967,NaN
550,0.0106627598098003,NaN,NaN,16.3030167648325
600,NaN,NaN,1.0511362818794,NaN
650,0.00769065956115576,10.0529639912999,NaN,NaN
750,NaN,7.27098290485058,0.983089591234609,16.0090049629452
800,-0.00355901259022204,NaN,NaN,NaN
900,NaN,3.85639571273672,1.03137756847889,NaN
1000,0.00738746208411618,3.00691789507921,0.925459960687338,NaN
1500,-6.3540248382422e-05,1.22034874638617,0.954809284943694,NaN
