t,TGFb_Obs,geneB_Obs,geneC_Obs,Compound_1_Obs
0,0.996938352746289,0.560898555065387,1.02586310623867,14.1507606308899
55,0.552128494542568,NaN,NaN,NaN
60,NaN,NaN,1.0656219899175,NaN
70,NaN,9.59193466134582,NaN,NaN
75,NaN,NaN,NaN,22.0343144583168
100,0.356424879438702,NaN,1.16763480146068,NaN
150,0.220930783903264,17.3444957765711,NaN,22.649801674105
200,NaN,19.3903938366168,1.26175342558086,NaN
250,0.117872344198115,NaN,1.14297197350032,21.1852654267115
300,0.0823463278642493,21.7560570234981,1.12330461691801,NaN
350,0.0642400790043487,21.111722229295,NaN,18.9663101362901
400,NaN,NaN,1.13211842413967,NaN
450,0.0303842313452584,19.1496039218624,NaN,15.6260219938133
500,NaN,NaN,1.07460918504505,NaN
550,0.0301580484465686,15.4648845545937,NaN,NaN
600,NaN,NaN,1.02834813307467,15.0091927619457
650,0.000296627706378855,NaN,NaN,NaN
700,NaN,10.6806867181716,NaN,NaN
750,0.0042772849221373,NaN,1.05477721328773,14.5320208302427
850,0.00524410451235291,6.34126721911286,NaN,NaN
900,NaN,NaN,1.08369363226965,NaN
950,NaN,NaN,NaN,14.3643896816799
1000,-0.00103553790443792,3.26268356030974,NaN,14.7804292216144
1500,NaN,1.23919264844572,NaN,15.6968127095601
