t,TGFb_Obs,geneB_Obs,geneC_Obs,Compound_1_Obs
0,1.01523106467701,2.06098533718555,1.0098352932412,14.7971346347461
50,NaN,NaN,0.994880862116969,NaN
65,NaN,11.1305130116946,NaN,NaN
70,NaN,NaN,NaN,21.1976241401801
80,0.420858156306233,NaN,NaN,NaN
100,NaN,NaN,1.06636149911137,NaN
150,0.229375139422892,18.2049019720701,1.09764679204969,21.3887677901779
200,NaN,20.4448540232245,1.18732542526836,22.716045036126
250,0.120893687647659,NaN,1.25401243595859,NaN
300,NaN,22.7875802125617,NaN,19.7024742887208
350,0.0481031176272028,22.6393399625132,1.1515355349219,NaN
400,NaN,NaN,1.08046413290009,18.7515460330036
450,0.0212031129587459,19.876107755941,NaN,NaN
500,NaN,NaN,0.955482352227771,16.7166275928117
550,0.0178352053835832,17.1922494366663,NaN,NaN
600,NaN,NaN,0.998077127525601,NaN
650,NaN,NaN,NaN,14.7326867956312
700,0.00352321880328803,11.9751679339455,NaN,NaN
750,NaN,NaN,0.990426352200873,NaN
800,NaN,NaN,NaN,14.9416904619132
850,-0.00228943067831498,7.34256639865122,1.00983380050444,NaN
950,NaN,NaN,NaN,15.4335664853849
1000,0.0013178402151814,3.92619241587823,NaN,14.6055431180494
1500,-0.00275156509523186,2.12144874967623,NaN,14.7908553660757
