t,TGFb_Obs,ppS2_ppS2_S4_Obs,geneB_Obs,geneC_Obs
0,0.00447925595729156,0.0143040897271545,0.96112303939325,0.996795152819239
9.5,NaN,NaN,NaN,1.04145582870114
10,0.0434057778171269,0.0567486062702105,0.942218689033882,NaN
20,NaN,0.00392953557858598,1.00697574823224,0.981474779132855
25,-0.0341968891434413,NaN,NaN,NaN
30,NaN,NaN,NaN,1.04325169631003
35,0.0778806037668718,0.0189802109645406,0.962809169478917,NaN
40,NaN,NaN,NaN,0.951829658366192
45,NaN,NaN,0.971889761013877,NaN
50,0.0135616848746222,0.0612484794677369,NaN,NaN
55,NaN,NaN,NaN,0.911029775412142
60,NaN,NaN,1.06321475010681,NaN
65,NaN,-0.00470603382245278,NaN,NaN
70,0.0312043796682539,NaN,NaN,0.924726384536202
80,NaN,NaN,1.00367466748467,NaN
85,NaN,-0.0257073959207457,NaN,1.02739109607769
90,0.051361636442235,NaN,NaN,NaN
95,NaN,NaN,1.00401649448743,NaN
