t,TGFb_Obs,ppS2_ppS2_S4_Obs,geneB_Obs,geneC_Obs
0,0.0148642454514401,0.043404245281171,1.01719789136482,0.994851307317193
10,0.02075810675895,-0.0700413177654043,1.02442585180244,0.987207265347115
25,-0.00811984412722909,-0.005807921184084,1.01846495723659,1.06646290331109
35,NaN,NaN,1.01130886130904,NaN
40,-0.0431803824870579,-0.0135510687540064,NaN,1.08274717030626
50,NaN,NaN,1.07698419611065,NaN
55,-0.0219722825353047,-0.0688519573672637,NaN,0.977355993501252
70,0.0406816884829911,0.0196836675700891,0.987598925064989,0.930148199554906
85,NaN,NaN,0.987819918179572,NaN
90,0.0413748380780758,0.0106790484960397,NaN,0.988756816015143
