t,TGFb_Obs,ppS2_ppS2_S4_Obs,geneB_Obs,geneC_Obs
0,0.00354559148862732,-0.00672625077940026,1.05460813408084,1.02305065777774
10,NaN,-0.0224742526046198,NaN,0.932939375648916
15,0.0618593177650727,NaN,0.929755580347746,NaN
20,NaN,NaN,NaN,1.06778291812945
25,NaN,-0.0260809289466247,0.976899043120065,NaN
30,0.0424698256777947,NaN,NaN,NaN
35,NaN,NaN,NaN,1.00301081278766
40,NaN,-0.0489503543829847,0.9696755354492,NaN
45,-0.0506029558885376,NaN,NaN,0.994397257909207
55,NaN,0.0405819539581648,NaN,NaN
60,NaN,NaN,1.11933354628593,0.9881754240551
65,-0.00971902768284506,NaN,NaN,NaN
70,NaN,0.0340305485229851,NaN,NaN
80,NaN,NaN,1.00635763283996,0.988136362737258
90,0.04222481228341,NaN,NaN,NaN
95,NaN,-0.0330271617206613,NaN,1.02310799479916
100,NaN,NaN,0.973279715812139,NaN
