t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,10175.5373204136,13431.311248572,8886.4401494623,2913.32706664086
5,11810.3251677352,NaN,NaN,NaN
9,NaN,8208.12724778835,NaN,NaN
10,14343.3820398665,NaN,9837.09531324361,1985.95628236752
15,12125.7693137245,NaN,NaN,NaN
20,9105.88417058361,5034.37255375176,NaN,NaN
25,NaN,NaN,10769.9389237761,2196.41409405112
30,5787.24109719941,16814.0272053473,NaN,NaN
35,9003.86229673293,NaN,NaN,NaN
40,NaN,12108.3269008862,10212.4003687502,2977.94803001327
45,5698.83871854032,NaN,NaN,NaN
50,NaN,8802.67674012694,NaN,NaN
55,NaN,NaN,8689.21384160062,1816.73698153241
60,6374.65255583768,NaN,NaN,NaN
65,NaN,11320.1548539531,NaN,NaN
70,19781.2510995307,NaN,9390.99861177387,NaN
75,NaN,20228.0729642134,NaN,1374.1696079675
90,NaN,NaN,7987.06179264007,NaN
95,NaN,12838.3876041086,NaN,4883.91104280026
100,NaN,10161.6087272174,12657.3394614061,NaN
150,NaN,11681.7299102974,11141.9608346854,5056.21655702577
200,NaN,6127.75467456021,11989.9276427822,4602.66411363591
