t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,226.503395996849,1742.18724053653,102.582793890842,2528.88241765644
5,NaN,3221.55648427305,NaN,NaN
6,248.125067100487,NaN,80.6763848218309,NaN
9.5,NaN,NaN,NaN,2433.95479768262
10,119.924995385651,1762.7236901055,173.029010049445,NaN
15,NaN,2269.83738961441,NaN,NaN
20,152.172798015569,2185.50958645333,79.6626852661076,2567.96716496226
25,169.453655513881,2086.47356697427,153.179710261995,NaN
30,NaN,NaN,NaN,2639.58646069819
35,280.444716404468,2733.94785689617,165.174778140984,NaN
40,268.210203358492,1437.80839158893,179.15753047648,2185.62190749495
50,179.556336182167,2962.18376110528,85.8142752363663,NaN
55,NaN,NaN,NaN,2235.23488477322
60,NaN,4592.56690263296,NaN,NaN
65,192.666892529174,NaN,73.448903349148,2063.16581932974
70,NaN,1934.8687940603,NaN,NaN
75,NaN,NaN,136.723367994759,NaN
80,175.440877239352,NaN,NaN,1320.10666173183
85,NaN,3124.65343540897,NaN,NaN
90,NaN,NaN,123.00457706172,NaN
95,86.5723670129178,NaN,NaN,NaN
100,177.018653212353,1605.07471321354,95.648647312378,1792.53486945046
150,NaN,NaN,NaN,1789.04897128879
200,NaN,NaN,NaN,2818.13406758404
