t,Compound_1_Obs,Compound_2_Obs,Compound_4_Obs
0,1003.75162735754,2052.7890305901,2949.30125613903
4,NaN,4062.86099961464,NaN
4.5,1073.69751903082,NaN,NaN
7.5,NaN,1683.09021627165,NaN
9,NaN,NaN,1052.63883457879
9.5,989.543436984732,NaN,NaN
10,NaN,5501.23495409266,NaN
15,617.901573132543,3200.10302342294,NaN
20,666.653672507681,1541.90349048818,3037.10018417805
25,1560.25360293728,3155.55622724575,NaN
30,1010.31508914328,3659.08640410541,4814.13180929078
40,1313.81852524912,2559.29071638931,2006.97609818476
45,1714.12887235317,NaN,NaN
50,NaN,3190.69018478377,1990.56751183012
55,1482.15989686415,3565.88147948592,NaN
65,598.788604119355,NaN,2293.89168297902
70,NaN,4331.2847249686,NaN
75,955.981609227271,NaN,NaN
80,NaN,5782.0879858134,2773.38891963267
90,921.407766010892,NaN,NaN
100,1062.46310718464,NaN,3053.50886524971
150,NaN,NaN,3092.45507258048
200,NaN,NaN,2451.17821886107
