t,RAF_Obs,pRAF_Obs,MEK_Obs,ERK_Obs
0,1.10254415214416,4.56554223005904e-06,0.926764194870935,0.881574675204664
0.25,1.01101959047933,NaN,NaN,NaN
0.3,NaN,6.79566797233385e-05,1.05936763136222,NaN
0.45,0.97128119951563,NaN,NaN,0.926125874614619
0.6,NaN,NaN,1.00473008810128,NaN
0.65,NaN,6.12223960974589e-05,NaN,NaN
0.7,1.05442044164843,NaN,NaN,NaN
0.9,NaN,NaN,0.997348296003383,0.968773242299941
1,0.866742168577879,5.52805781977058e-05,0.948627190572694,NaN
1.5,0.851233841470267,4.27850053699817e-05,1.00456449205448,0.890403576696576
2,0.917484316077349,4.09294427696434e-05,0.985040888758732,0.951510812730044
2.5,0.969144406448563,3.74842628292804e-05,1.10389373468921,0.932590966936787
3,0.965123039456531,NaN,1.01003838545081,NaN
3.5,NaN,3.01753749638028e-05,NaN,0.924998251007746
4,1.13115248841067,2.98272173241954e-05,0.943055454425851,1.05534801397433
4.5,NaN,NaN,0.986618146557026,NaN
5,NaN,3.17792936276727e-05,NaN,0.977248735833003
5.5,NaN,NaN,0.959655237458813,NaN
6,NaN,3.20349141373448e-05,NaN,0.826954566180921
7,NaN,2.95288695156414e-05,NaN,NaN
7.5,NaN,NaN,NaN,0.928620717847507
