t,RAF_Obs,pRAF_Obs,MEK_Obs,ERK_Obs
0,1.07925378966117,7.01212041008638e-06,1.15656103104254,0.991177901937272
0.4,NaN,NaN,1.04642596391422,NaN
0.85,NaN,NaN,0.895669822586106,NaN
1,0.967904893752718,NaN,NaN,NaN
1.5,NaN,NaN,1.05197881098017,NaN
2,NaN,2.05511525782075e-05,NaN,0.68983107997122
2.5,1.04869888598931,NaN,1.05168882122375,NaN
3,NaN,NaN,0.972588446793392,NaN
3.5,NaN,NaN,1.07039182291132,NaN
4,1.05045134115725,1.08971340650401e-05,NaN,0.929805063086738
4.5,NaN,NaN,0.923351682621712,NaN
5,NaN,NaN,1.05904988440271,NaN
5.5,0.918529758881419,NaN,NaN,NaN
6,NaN,NaN,0.932451678289681,NaN
6.5,NaN,7.67469014935886e-06,NaN,1.04584837655993
7,0.941030092481802,NaN,NaN,NaN
7.5,NaN,NaN,1.01515167795909,NaN
9,NaN,7.03985865196164e-06,NaN,0.804177875854653
9.5,1.019096795968,NaN,NaN,NaN
10,0.93386491648861,6.90929055712158e-06,NaN,0.837752565828155
15,0.953144080366007,6.89760657200553e-06,NaN,0.926989543388969
20,0.987864696277607,7.03058994403933e-06,NaN,1.0379558262199
25,NaN,6.80793426953227e-06,NaN,0.872510519809487
