t,RAF_Obs,pRAF_Obs,MEK_Obs,ERK_Obs
0,1.05435775179629,8.89559446265367e-06,1.03175569970691,0.915733440271418
0.2,1.06426827003936,NaN,NaN,NaN
0.35,NaN,4.74879709064453e-05,1.07103919542328,NaN
0.45,1.01436254168139,NaN,NaN,0.905555605556378
0.7,1.03898020257974,NaN,NaN,NaN
0.75,NaN,4.14253883354692e-05,0.97648209594718,NaN
0.95,0.968435602545201,NaN,NaN,0.808064033588022
1,0.92454490066274,3.39929297287421e-05,1.0340947027324,NaN
1.5,0.901819586209606,2.96451795298308e-05,1.00475392691305,0.853323344954951
2,1.19984722484519,2.63027720123031e-05,1.00190719214328,1.02525254448358
2.5,0.939568626575827,1.92557139786771e-05,1.00832817545458,0.888042047691145
3,0.95199433337442,1.52988585149856e-05,NaN,NaN
3.5,0.997297291358537,1.46522635071572e-05,1.0383237279416,0.83958572468832
4,NaN,NaN,0.945069452064328,0.997763965626391
4.5,NaN,1.27716710052798e-05,NaN,NaN
5,NaN,1.38423900306496e-05,1.19207598560503,0.938054749241753
6,NaN,1.71951727623067e-05,1.01355732099775,1.04337610972465
7.5,NaN,1.47372235110386e-05,NaN,1.03733123777293
