t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,42891312.6886249,0.0244996672197631,44387348.016109
35,19290413.1124499,NaN,23854969.9675725
75,7873391.56960861,NaN,13291948.1811985
100,6295949.89085599,NaN,2643436.00653938
150,4915766.6390378,NaN,-742120.820448132
200,401350.145145931,NaN,5268303.5474949
250,NaN,0.0154965454023396,3099731.86305784
300,3375044.3722556,NaN,NaN
350,-1028953.62256393,NaN,-721570.428250192
450,-46394.6650651385,NaN,-2439715.9804344
550,NaN,0.0252062660536917,NaN
800,NaN,0.0331585197932671,NaN
1000,NaN,0.0411135743901403,NaN
1500,NaN,0.0182012400379678,NaN
2000,NaN,0.0354572671795775,NaN
2500,NaN,0.0489933082782364,NaN
3000,NaN,0.0309580812718933,NaN
3500,NaN,0.0371475673005354,NaN
4000,NaN,0.0357902740962358,NaN
