t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,45507921.3821123,0.0500088887817495,42529463.7037067
45,2208696.11204963,NaN,1931145.06868532
90,2419888.21404567,NaN,67102.2106298081
150,-83104.5313254366,NaN,-366947.8775596
200,-1895277.61135817,NaN,-2610991.01871795
250,-205879.01643731,NaN,505450.736498952
300,-535118.754971677,0.0295251828814646,NaN
350,NaN,NaN,279484.222557108
400,1621157.02636252,NaN,-1067100.48292797
500,1251927.17284378,NaN,1110450.08278301
650,NaN,0.0256833965295479,NaN
950,NaN,0.0365828956513055,NaN
1500,NaN,0.04256100526205,NaN
2000,NaN,0.0478100744218294,NaN
2500,NaN,0.0512939736322291,NaN
3000,NaN,0.0353315175271702,NaN
3500,NaN,0.0460405466247705,NaN
