t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,43549185.4080508,0.0339989851078245,45833485.3059832
40,-379237.572696681,NaN,NaN
45,NaN,NaN,-2608661.18367212
75,1438830.72157248,NaN,NaN
90,NaN,NaN,2127312.08779454
100,-1909737.2923024,NaN,NaN
150,-486465.678284495,NaN,-945816.542982541
200,1688555.02580039,NaN,-2221433.88212892
250,NaN,0.0447747185985753,-140419.834010379
300,-140583.733240254,NaN,NaN
350,-829648.316804277,NaN,1682056.47510924
450,1643084.60921839,NaN,1375398.10549061
500,NaN,0.0406454953887215,NaN
800,NaN,0.0515808782692273,NaN
1000,NaN,0.0284679877130973,NaN
1500,NaN,0.0316679172478139,NaN
2000,NaN,0.041707566654405,NaN
2500,NaN,0.0499514845416326,NaN
3000,NaN,0.0471160251074005,NaN
3500,NaN,0.0190448542983622,NaN
