t,EGFR_Obs,Akt_Obs,Compound_1_Obs
0,47825994.1138408,0.0332921486368673,46809136.7158086
100,30825783.427341,NaN,23424780.8631867
200,20429285.9932805,NaN,18390515.6493092
300,NaN,NaN,8077615.80633474
350,8667309.50640912,NaN,NaN
400,NaN,0.0244653220093992,NaN
450,5500907.86349958,NaN,8087128.56329801
600,404129.214427398,NaN,7834566.52180137
750,NaN,NaN,5174567.2591894
800,1420056.71694273,0.0330317981157516,NaN
1000,-3783659.85994701,NaN,-235023.617498507
1500,NaN,0.0348098146329131,NaN
2000,NaN,0.0260734553896982,NaN
2500,NaN,0.0387793127007895,NaN
3000,NaN,0.0170969655298223,NaN
3500,NaN,0.0270135127139813,NaN
4500,NaN,0.0448619389993977,NaN
5500,NaN,0.0524895759896249,NaN
6500,NaN,0.0319210113536962,NaN
